Domains,Sequence Number Diff
bbc.com,693
nav.files.bbci.co.uk/static.files.bbci.co.uk/static.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/static.bbc.co.uk/ichef.bbc.co.uk/mybbc.files.bbci.co.uk/idcta.api.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/gel.files.bbci.co.uk,25380
aa.agkn.com,4873
cdn.optimizely.com,615
bbc.gscontxt.net,4319
