Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
seungworkstation09.Princeton.EDU,31,0,0,0,0.0,0.0
92.30.27.36.sbl-xbl.spamhaus.org,1,0,0,0,0.0,0.0
mail-co1nam11olkn2052.outbound.protection.outlook.com,1,0,0,0,0.0,0.0
prod.outbrain.map.fastlylb.net,12,0,0,0,0.0,0.0
c-67-186-253-79.hsd1.ut.comcast.net,4,0,0,0,0.0,0.0
outlook-office-com.k-0002.k-msedge.net,11,0,0,0,0.0,0.0
c-73-229-232-218.hsd1.co.comcast.net,6,0,0,0,0.0,0.0
255.red-2-139-215.staticip.rima-tde.net,8,0,0,0,0.0,0.0
disc601.prod.do.dsp.mp.microsoft.com,35,0,26,1452,26.0,1452.0
lib-solr-staging.princeton.edu,669,0,0,0,0.0,0.0
cdn.samsungcloudsolution.com,922,0,81,5506,81.0,5506.0
remotedesktop-pa.googleapis.com,406,0,573,33474,573.0,33474.0
impact3ienewwwww4nbbnhevp.devcloud.acquia-sites.com,1,0,90,5960,90.0,5960.0
api.nextgen.guardianapps.co.uk,9,0,267,14462,267.0,14462.0
d.la4-c1-ph2.salesforceliveagent.com,28,0,219,14598,219.0,14598.0
drive-thirdparty.googleusercontent.com,47,0,12,504,12.0,504.0
ss-prod-ue1-notif-30.aws.adobess.com,67,0,0,0,0.0,0.0
storecatalogrevocation.storequality.microsoft.com,52,0,57,3138,57.0,3138.0
r2---sn-ab5szn7r.c.2mdn.net,4,0,5002,229548,5002.0,229548.0
evictionlab-princeton.slack.com,54,0,0,0,0.0,0.0
api.summon.serialssolutions.com,32,0,0,0,0.0,0.0
p36-imap.mail.me.com.akadns.net,4,0,0,0,0.0,0.0
prod-balan-fdzj1d4q5tzo-2064467324.us-east-1.elb.amazonaws.com,1,0,0,0,0.0,0.0
trial-eum-clientnsv4-s.akamaihd.net,38,0,44,2744,44.0,2744.0
trial-eum-clienttons-s.akamaihd.net,41,0,42,2636,42.0,2636.0
r6---sn-ab5szn7y.gvt1.com,3,0,0,0,0.0,0.0
pdom05.pu.win.princeton.edu,292,0,0,0,0.0,0.0
invitation.ess-apple.com.akadns.net,59,0,716,49192,716.0,49192.0
videoclientsservicescalls.outbrain.com,28,0,98,6444,98.0,6444.0
www.ncbi.nlm.nih.gov,35,0,0,0,0.0,0.0
search.proquest.com.cdn.cloudflare.net,4,0,0,0,0.0,0.0
fe3.delivery.mp.microsoft.com,140,0,317,17598,317.0,17598.0
www.propublica.org.cdn.cloudflare.net,173,0,0,0,0.0,0.0
qbyeb3yxh5hiuxumz3bq-pdc4el-36fc4309f-clientnsv4-s.akamaihd.net,4,0,0,0,0.0,0.0
lh4.googleusercontent.com,73,0,6520,275972,6520.0,275972.0
128-112-64-239_s-23-63-78-49_ts-1586286276-clienttons-s.akamaihd.net,4,0,0,0,0.0,0.0
40335-35.chat.api.drift.com,2,0,0,0,0.0,0.0
www.googleadservices.com,184,0,623,39754,623.0,39754.0
231.21.167.60.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,31,0,0,0,0.0,0.0
gs-loc.ls-apple.com.akadns.net,78,0,491,27210,491.0,27210.0
www-cdn.icloud.com.akadns.net,189,0,0,0,0.0,0.0
mesu-cdn.origin-apple.com.akadns.net,55,0,288,19220,288.0,19220.0
ht.53.umdl.umich.edu,129,0,0,0,0.0,0.0
2.android.pool.ntp.org,16,0,0,0,0.0,0.0
device-metrics-us.amazon.com,46,0,901,48966,901.0,48966.0
laubervilliers-657-1-12-94.w80-12.abo.wanadoo.fr,3,0,0,0,0.0,0.0
ss-prod-ue1-notif-49.aws.adobess.com,35,0,0,0,0.0,0.0
us-sandbox-courier-4.push-apple.com.akadns.net,296,0,0,0,0.0,0.0
1.courier-push-apple.com.akadns.net,443,0,39,2598,39.0,2598.0
d.la4-c1-phx.salesforceliveagent.com,7,0,24,1600,24.0,1600.0
nihms-file-preview.s3.amazonaws.com,1,0,0,0,0.0,0.0
amer.ng.msg.teams.microsoft.com,141,0,132,8468,132.0,8468.0
jwplayer-dualstack.map.fastly.net,21,0,0,0,0.0,0.0
t.wayfair.map.fastly.net,20,0,0,0,0.0,0.0
c.sharethis.mgr.consensu.org,17,0,82,5200,82.0,5200.0
rq.cct.cloud.duba.net,1,0,16,912,16.0,912.0
prod.roaming1.live.com.akadns.net,189,0,266,14544,266.0,14544.0
prodnet3709-3702edgea0000.sharepointonline.com.akadns.net,362,0,0,0,0.0,0.0
r6---sn-ab5szne7.googlevideo.com,6,0,0,0,0.0,0.0
r6---sn-ab5l6nzl.gvt1.com,8,0,19,1038,19.0,1038.0
62.82.75.58.static.user.ono.com,20,0,0,0,0.0,0.0
nexus-long-poller-a.intercom.io,76,0,0,0,0.0,0.0
nexus-go-alb-longpoller-a-226525818.us-east-1.elb.amazonaws.com,32,0,0,0,0.0,0.0
d2.shared.global.fastly.net,59,0,29,1922,29.0,1922.0
gsp64-ssl.ls-apple.com.akadns.net,100,0,350,22632,350.0,22632.0
static.va1.vip.prod.criteo.net,11,0,0,0,0.0,0.0
secure-us-east-1.imrworldwide.com,10,0,62,4020,62.0,4020.0
personalhealthmessagecenter.com,10,0,0,0,0.0,0.0
us.bootstrap.endpoint.ingress.rapid7.com,45,0,135,7882,135.0,7882.0
logsene-receiver.sematext.com,714,0,0,0,0.0,0.0
cindy-rosenfeld-imac.princeton.edu,11,0,0,0,0.0,0.0
bounce.bluestatedigital.com,175,0,0,0,0.0,0.0
captive.apple.com.edgekey.net,6,0,0,0,0.0,0.0
ss-prod-ue1-notif-20.aws.adobess.com,68,0,278,18020,278.0,18020.0
smartscreen-prod.microsoft.com,125,0,0,0,0.0,0.0
lib-solr-staging4.princeton.edu,21,0,0,0,0.0,0.0
lib-static-staging1.princeton.edu,21,0,0,0,0.0,0.0
lib-approvals-prod1.princeton.edu,24,0,0,0,0.0,0.0
lib-approvals-staging1.princeton.edu,21,0,0,0,0.0,0.0
lib-confluence-staging1.princeton.edu,21,0,0,0,0.0,0.0
lib-solr-staging6.princeton.edu,20,0,0,0,0.0,0.0
lib-solr-staging5.princeton.edu,21,0,0,0,0.0,0.0
lib-confluence-prod1.princeton.edu,24,0,0,0,0.0,0.0
mail-oln040092009089.outbound.protection.outlook.com,3,0,0,0,0.0,0.0
itsourgreatamerica.com,3,0,0,0,0.0,0.0
mail-dm6nam12olkn2059.outbound.protection.outlook.com,3,0,0,0,0.0,0.0
client-upgrade-a.wbx2.com,72,0,169,11126,169.0,11126.0
fundingchoicesmessages.google.com,7,0,100,6616,100.0,6616.0
123.62.40.77.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,15,0,0,0,0.0,0.0
pitt-edu.mail.protection.outlook.com,4,0,0,0,0.0,0.0
e6858.dsce9.akamaiedge.net.0.1.cn.akamaiedge.net,80,0,0,0,0.0,0.0
cmbr-vz-mta1.businesswatchnetwork.com,3,0,0,0,0.0,0.0
215.2.69.86.rev.sfr.net,12,0,0,0,0.0,0.0
accdn.lpsnmedia.livepersonk.akadns.net,13,0,0,0,0.0,0.0
comserver.us1.mspa.n-able.com,59,0,0,0,0.0,0.0
skypedataprdcolweu02.cloudapp.net,1,0,0,0,0.0,0.0
dualstack.engagement-bus-prod-713264365.us-east-1.elb.amazonaws.com,68,0,0,0,0.0,0.0
skypedataprdcoljpe03.cloudapp.net,2,0,0,0,0.0,0.0
mta-dock-front-4.bluestatedigital.com,23,0,0,0,0.0,0.0
drwaiqwbfbh5tnyqhfr7dknnei.appsync-api.us-east-1.amazonaws.com,1,0,16,876,16.0,876.0
