Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,172.217.12.193,61805,1599316965.371591,7881,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.12.193,61806,1599316965.371592,7881,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.12.193,61807,1599316965.371593,7880,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.12.161,61799,1599316964.865705,10215,39ec04a001dc28321b5fe5ecab176371.safeframe.googlesyndication.com/9459bf125220a849ef0ad7ca82adee87.safeframe.googlesyndication.com/
10.9.95.159,34.235.186.1,61800,1599316964.898818,8015,collector.effectivemeasure.net/
10.9.95.159,104.20.68.57,61801,1599316965.008781,5379,edigitalsurvey.com/
10.9.95.159,142.250.64.100,61808,1599316965.388356,3659,www.google.com/
10.9.95.159,142.250.64.100,61665,1599316978.858959,7367,www.google.com/
10.9.95.159,54.82.161.19,61809,1599316965.577172,7086,wss-primary.slack.com/wss-primary.slack.com/
10.9.95.159,54.82.161.19,61674,1599316972.802126,32,wss-primary.slack.com/wss-primary.slack.com/
10.9.95.159,54.82.161.19,61812,1599316973.640198,5917,wss-primary.slack.com/wss-primary.slack.com/
10.9.95.159,54.82.161.19,61729,1599316988.032726,32,wss-primary.slack.com/wss-primary.slack.com/
10.9.95.159,54.82.161.19,61815,1599316989.065538,5791,wss-primary.slack.com/wss-primary.slack.com/
10.9.95.159,172.217.11.163,61810,1599316965.772715,3717,csi.gstatic.com/
10.9.95.159,172.217.11.35,61811,1599316966.159127,83027,ssl.gstatic.com/
10.9.95.159,172.217.6.234,61813,1599316978.614438,9519,people-pa.clients6.google.com/www.googleapis.com/
10.9.95.159,172.217.197.189,61424,1599316978.858963,15037,26.client-channel.google.com/
10.9.95.159,17.248.187.4,61834,1599317018.632879,13114,gateway.fe.apple-dns.net/p51-contacts.icloud.com/
10.9.95.159,13.226.36.93,61818,1599316994.789924,20529,tags.crwdcntrl.net/
10.9.95.159,54.221.131.184,61819,1599316994.845476,6286,ad.crwdcntrl.net/
10.9.95.159,52.51.224.78,61820,1599316995.131927,5696,ssc.api.bbc.com/
10.9.95.159,34.235.74.62,61821,1599316995.342922,6596,privacy.crwdcntrl.net/
10.9.95.159,3.221.41.93,61822,1599316995.727318,8788,privacy.crwdcntrl.net/bcp.crwdcntrl.net/
10.9.95.159,54.84.247.195,61823,1599316996.212393,20472,pixel.adsafeprotected.com/
10.9.95.159,13.226.36.94,61824,1599316996.600397,85319,static.adsafeprotected.com/
10.9.95.159,104.244.37.20,61825,1599316996.8041,7265,dt.adsafeprotected.com/
10.9.95.159,104.244.37.20,61826,1599316996.827642,7602,dt.adsafeprotected.com/
10.9.95.159,104.244.37.20,61828,1599316997.963813,831,dt.adsafeprotected.com/
10.9.95.159,104.244.37.20,61829,1599316997.963816,157,dt.adsafeprotected.com/
10.9.95.159,104.244.37.20,61830,1599316997.975796,157,dt.adsafeprotected.com/
10.9.95.159,172.217.12.202,61831,1599316997.993051,111875,imasdk.googleapis.com/www.googleapis.com/
10.9.95.159,172.217.10.134,61832,1599316998.118751,15038,s0.2mdn.net/
10.9.95.159,172.217.12.170,61833,1599317018.257339,17860,www.googleapis.com/
10.9.95.159,172.217.12.170,61835,1599317018.633759,15994,www.googleapis.com/
10.9.95.159,172.217.11.3,61837,1599317026.05288,3249,beacons.gcp.gvt2.com/
10.9.95.159,172.217.11.3,61836,1599317026.052884,4678,beacons.gcp.gvt2.com/
10.9.95.159,172.217.11.3,61839,1599317026.054444,3250,beacons.gcp.gvt2.com/
10.9.95.159,172.217.11.3,61838,1599317026.054447,3250,beacons.gcp.gvt2.com/
10.9.95.159,172.217.10.229,61840,1599317030.341903,4650,googlemail.l.google.com/
