Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,34.227.133.184,54451,1598620886.154267,9881,privacy.crwdcntrl.net/bcp.crwdcntrl.net/sync.crwdcntrl.net/
10.9.95.159,13.226.36.58,54453,1598620886.188598,6440,detect-survey.effectivemeasure.net/
10.9.95.159,52.1.56.153,54454,1598620886.251792,6014,survey.effectivemeasure.net/
10.9.95.159,23.2.41.16,54455,1598620886.320729,5659,sb.scorecardresearch.com/
10.9.95.159,13.225.57.5,54456,1598620886.401037,18387,static.chartbeat.com/
10.9.95.159,35.244.245.222,54458,1598620886.509788,6061,idsync.rlcdn.com/
10.9.95.159,52.73.57.11,54459,1598620886.516703,6840,pm.w55c.net/
10.9.95.159,52.200.234.11,54460,1598620886.519747,6054,sync.sharethis.com/
10.9.95.159,35.244.255.22,54461,1598620886.521891,5431,x.skimresources.com/
10.9.95.159,69.169.85.6,54462,1598620886.557607,3972,global.ib-ibi.com/
10.9.95.159,35.190.91.160,54468,1598620886.6138,5316,p.skimresources.com/
10.9.95.159,52.203.71.212,54470,1598620886.721632,4432,ping.chartbeat.net/
10.9.95.159,69.169.86.39,54471,1598620886.808826,4169,ib.mookie1.com/
10.9.95.159,52.5.191.34,54472,1598620886.862181,35058,pixel.adsafeprotected.com/fwvc.adsafeprotected.com/
10.9.95.159,13.226.36.99,54473,1598620887.117372,85430,static.adsafeprotected.com/
10.9.95.159,104.244.39.20,54474,1598620887.454816,7939,dt.adsafeprotected.com/
10.9.95.159,104.244.39.20,54478,1598620887.700207,862,dt.adsafeprotected.com/
10.9.95.159,104.244.39.20,54481,1598620888.45471,157,dt.adsafeprotected.com/
10.9.95.159,104.244.39.20,54482,1598620888.45471,1536,dt.adsafeprotected.com/
10.9.95.159,104.244.39.20,54475,1598620888.515992,157,dt.adsafeprotected.com/
10.9.95.159,216.239.36.54,54479,1598620887.877806,10147,europe-west1-bbc-otg-traf-mgr-bq-prod-4591.cloudfunctions.net/
10.9.95.159,172.217.10.106,54480,1598620888.211286,112011,imasdk.googleapis.com/
