"Timestamp, DNS Domain Queried"
1598795460.620991,jjk7.mycpanel.princeton.edu
1598795460.673011,maxcdn.bootstrapcdn.com
1598795460.673014,fonts.googleapis.com
1598795460.817954,fonts.gstatic.com
