Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
192.168.1.4,52.7.160.76,56385,1596553594.523383,4987,match.adsrvr.org/
192.168.1.4,68.67.179.165,56386,1596553594.520602,4991,secure.adnxs.com/
192.168.1.4,74.6.138.75,56387,1596553594.525353,5145,pr-bh.ybp.yahoo.com/
192.168.1.4,104.77.10.8,56388,1596553594.548465,1465378,s8t.teads.tv/
192.168.1.4,23.111.8.18,56389,1596553594.556446,57737,vpaid.doubleverify.com/
192.168.1.4,172.217.10.34,56390,1596553594.582709,4891,cm.g.doubleclick.net/
192.168.1.4,69.192.108.75,56391,1596553594.871058,73684,cdn.doubleverify.com/
192.168.1.4,18.213.31.232,56392,1596553594.876821,6592,vtrk.doubleverify.com/
192.168.1.4,204.154.111.153,56393,1596553595.299732,10219,tps.doubleverify.com/
192.168.1.4,104.87.14.161,56394,1596553595.306115,7431,cdn3.doubleverify.com/
192.168.1.4,204.154.110.163,56395,1596553597.463535,6603,tps10220.doubleverify.com/
192.168.1.4,204.154.110.163,56397,1596553605.199044,3385,tps10220.doubleverify.com/
192.168.1.4,204.154.110.163,56399,1596553615.185315,580,tps10220.doubleverify.com/
192.168.1.4,142.250.64.102,56396,1596553598.79343,4259,ad.doubleclick.net/
