0,0,0
0,0,0
155,465,30222
4571,47488,3004888
14811,419178,25693868
32809,840636,50487580
81843,1808281,111227662
145134,2236507,135520166
186405,3324788,195974656
316810,4952595,298399154
371362,5668555,341579906
395054,5951402,355670980
422232,10802465,619727714
438598,11020527,631167290
455472,11693840,675041904
464134,11758455,678934898
472824,13287507,749508250
480030,13529498,762905964
492673,13545206,763886888
495694,13560808,764802472
500278,13585612,766343348
500847,13598175,767151162
501335,13599117,767204342
501710,13600476,767294864
501895,13600888,767321252
502240,13623637,768747006
503123,13637586,769663152
505339,13639258,769772348
505540,13639473,769784006
505705,13642132,769928180
505731,13642185,769931722
