Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
androidwearcloudsync-pa.googleapis.com,9,0,296,24236,296.0,24236.0
firebaseremoteconfig.googleapis.com,22,0,6940,565285,6940.0,565285.0
pksproddatastorewus104.blob.core.windows.net,41,0,237,40385,237.0,40385.0
mx-eu.mail.am0.yahoodns.net,39,0,619,49822,619.0,49822.0
e.jacksonandperkins.com,13,0,0,0,0.0,0.0
jacksonandperkins.com,14,0,0,0,0.0,0.0
89.153.225.111.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,547,0,0,0,0.0,0.0
androidpay-users-pa.googleapis.com,7,0,283,23231,283.0,23231.0
gomesdevelopment.com,4,0,0,0,0.0,0.0
67.102.34.182.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,1440,0,0,0,0.0,0.0
2.222.175.60.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,113,0,0,0,0.0,0.0
29.15.231.52.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,736,0,0,0,0.0,0.0
87.10.148.45.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,915,0,0,0,0.0,0.0
133.42.207.103.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,2193,0,0,0,0.0,0.0
177.50.102.94.4vw5piqz5ksoolyszwje5tobsi.zen.dq.spamhaus.net,83,0,0,0,0.0,0.0
anniescatalog-news.com,2,0,0,0,0.0,0.0
p1-204158.em.penguinrandomhouse.com,7,0,45,3953,45.0,3953.0
mx03.oxsus-vadesecure.net,121,0,1211,94761,1211.0,94761.0
sonic302-2.consmr.mail.bf2.yahoo.com,21,0,709,65197,709.0,65197.0
mail-attachment.googleusercontent.com,5,0,2382,218158,2382.0,218158.0
241.59.223.92.4vw5piqz5ksoolyszwje5tobsi.zen.dq.spamhaus.net,226,0,0,0,0.0,0.0
mta.youcan.nzpost.co.nz,4,0,0,0,0.0,0.0
173.254.208.250.static.quadranet.com,192,0,0,0,0.0,0.0
email.chromatographyonline.com,15,0,0,0,0.0,0.0
cornellprod-mail-onmicrosoft-com.mail.eo.outlook.com,231,0,660,48520,660.0,48520.0
131.204.169.60.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,3320,0,0,0,0.0,0.0
em.penguinrandomhouse.com,7,0,36,3262,36.0,3262.0
mtaip200.nj3.bulletinhealthcare.com,6,0,105,9525,105.0,9525.0
194.206.188.5.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,385,0,0,0,0.0,0.0
shared36.accountservergroup.com,8,0,121,9614,121.0,9614.0
0.datadog.pool.ntp.org,161,0,0,0,0.0,0.0
west.smtp.exch024.serverdata.net,51,0,851,74945,851.0,74945.0
123.61.40.77.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,533,0,0,0,0.0,0.0
mx04.oxsus-vadesecure.net,122,0,1270,99490,1270.0,99490.0
mail.41.56.informz.net,9,0,0,0,0.0,0.0
o909.abmail.hello.varomoney.com,7,0,53,4731,53.0,4731.0
222.135.11.72.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,291,0,0,0,0.0,0.0
aap.bulletinhealthcare.com,3,0,0,0,0.0,0.0
PDOM05.pu.win.princeton.edu,1467,0,0,0,0.0,0.0
email.thewalkingcompany.com,45,0,0,0,0.0,0.0
update.pan.n.shifen.com,23,0,4679,307491,4679.0,307491.0
245.223.175.60.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,2735,0,0,0,0.0,0.0
prestonspharmacy.com,1,0,0,0,0.0,0.0
242.3.40.77.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,382,0,0,0,0.0,0.0
solichamberensemble.com,2,0,0,0,0.0,0.0
110.62.40.77.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,125,0,0,0,0.0,0.0
