0,0,0
0,0,0
16,31,1918
279,339,22158
825,3295,174374
2021,9467,527754
4533,22231,1270250
7777,39167,2218646
10068,49515,2818922
18261,75097,4402294
20959,87687,5163354
22208,94241,5460470
23750,106432,6181012
24850,108745,6299078
25918,120116,7031420
26419,122386,7171016
26906,142547,8111226
27342,144676,8247900
27956,147379,8395554
28142,147591,8407682
28376,147689,8413966
28404,147696,8414356
28453,147707,8414962
28475,147717,8415630
28486,147717,8415630
28516,147759,8417946
28538,147785,8419386
28560,147785,8419386
28569,147785,8419386
28574,147785,8419386
28574,147785,8419386
