Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
alumni.Princeton.edu,58,0,0,0,0.0,0.0
WGPON-36237-155.wateen.net,2,0,0,0,0.0,0.0
PPPL.GOV,38,0,0,0,0.0,0.0
KWPMC.com,2,0,0,0,0.0,0.0
Vanderweil.com,19,0,0,0,0.0,0.0
LISTSERV.NEU.EDU,2,0,0,0,0.0,0.0
i59F5263C.versanet.de,2,0,0,0,0.0,0.0
TRE-GFS5JR2.princeton.edu,1,0,0,0,0.0,0.0
ZUJ.EDU.JO,23,0,0,0,0.0,0.0
email.MagazineLine.com,6,0,0,0,0.0,0.0
ORP-B77QJR2-LT.princeton.edu,1,0,0,0,0.0,0.0
LISTSERV.SYR.EDU,8,0,0,0,0.0,0.0
CASE.EDU,12,0,0,0,0.0,0.0
princeton.Edu,6,0,0,0,0.0,0.0
DR-RON.COM,4,0,0,0,0.0,0.0
HarryandDavid.com,5,0,0,0,0.0,0.0
eTeacherHebrew.com,2,0,0,0,0.0,0.0
LISTS.UFL.EDU,24,0,0,0,0.0,0.0
GBM-9DMB6Y2.princeton.edu,1,0,0,0,0.0,0.0
CES-414Z6H2.princeton.edu,1,0,0,0,0.0,0.0
PPPL-MLL2SP4.princeton.edu,1,0,0,0,0.0,0.0
125-227-22-22.HINET-IP.hinet.net,1,0,0,0,0.0,0.0
LISTSERV.IT.NORTHWESTERN.EDU,16,0,0,0,0.0,0.0
TSM8.PRINCETON.EDU,32,0,0,0,0.0,0.0
UNIGE.CH,7,0,0,0,0.0,0.0
CriticalReach.Org,20,0,0,0,0.0,0.0
LISTSERV.UGA.EDU,2,0,0,0,0.0,0.0
WGU.edu,2,0,0,0,0.0,0.0
WGPON-37200-195.wateen.net,2,0,0,0,0.0,0.0
RopesGray.com,19,0,0,0,0.0,0.0
TMS-D3FP6Y2.princeton.edu,1,0,0,0,0.0,0.0
DEV-260PC0HHPM8.princeton.edu,1,0,0,0,0.0,0.0
Wabtec.com,3,0,0,0,0.0,0.0
ConcordVillage.com,1,0,0,0,0.0,0.0
PCO-R90P471B.princeton.edu,1,0,0,0,0.0,0.0
UHS-8TB93X2.princeton.edu,1,0,0,0,0.0,0.0
FitnessSingles.com,1,0,0,0,0.0,0.0
OCP-67MQZW2.princeton.edu,1,0,0,0,0.0,0.0
SCU.EDU,11,0,0,0,0.0,0.0
MCGILL.CA,12,0,0,0,0.0,0.0
STANFORD.EDU,28,0,0,0,0.0,0.0
WUSTL.EDU,32,0,0,0,0.0,0.0
DUKE.EDU,28,0,0,0,0.0,0.0
TULANE.EDU,12,0,0,0,0.0,0.0
COLUMBIA.EDU,49,0,0,0,0.0,0.0
DARTMOUTH.EDU,73,0,0,0,0.0,0.0
JHU.EDU,30,0,0,0,0.0,0.0
NIN.KNAW.NL,5,0,0,0,0.0,0.0
INSEAD.EDU,7,0,0,0,0.0,0.0
UTORONTO.CA,31,0,0,0,0.0,0.0
ANDREW.CMU.EDU,21,0,0,0,0.0,0.0
NORTHEASTERN.EDU,7,0,0,0,0.0,0.0
NYU.EDU,40,0,0,0,0.0,0.0
WPUNJ.EDU,18,0,0,0,0.0,0.0
UCI.EDU,14,0,0,0,0.0,0.0
POST.TAU.AC.IL,5,0,0,0,0.0,0.0
ADELPHI.EDU,4,0,0,0,0.0,0.0
UCSD.EDU,27,0,0,0,0.0,0.0
PSYCH.UCLA.EDU,5,0,0,0,0.0,0.0
CARDIFF.AC.UK,7,0,0,0,0.0,0.0
UKE.DE,8,0,0,0,0.0,0.0
TUE.MPG.DE,6,0,0,0,0.0,0.0
ISTC.CNR.IT,8,0,0,0,0.0,0.0
FAS.HARVARD.EDU,36,0,0,0,0.0,0.0
UW.EDU,22,0,0,0,0.0,0.0
RUTGERS.EDU,27,0,0,0,0.0,0.0
PSYCH.UPENN.EDU,15,0,0,0,0.0,0.0
AUCKLAND.AC.NZ,4,0,0,0,0.0,0.0
PITT.EDU,19,0,0,0,0.0,0.0
WARWICK.AC.UK,5,0,0,0,0.0,0.0
EMAIL.ARIZONA.EDU,9,0,0,0,0.0,0.0
PSYCH.UTORONTO.CA,20,0,0,0,0.0,0.0
SEAS.UPENN.EDU,11,0,0,0,0.0,0.0
BERKELEY.EDU,20,0,0,0,0.0,0.0
UOREGON.EDU,19,0,0,0,0.0,0.0
SAS.UPENN.EDU,23,0,0,0,0.0,0.0
BROWN.EDU,29,0,0,0,0.0,0.0
WEIZMANN.AC.IL,14,0,0,0,0.0,0.0
RESEARCH.BAYCREST.ORG,8,0,0,0,0.0,0.0
UCL.AC.UK,16,0,0,0,0.0,0.0
ENS.FR,5,0,0,0,0.0,0.0
