Domains,Sequence Number Diff
www.bbc.com,6127
fig.bbc.co.uk,6127
aa.agkn.com,4750
bbc.gscontxt.net,4354
b1sync.zemanta.com,10790
dt.adsafeprotected.com,13182
ib.adnxs.com,5146
c1.adform.net,5540
ichef.bbci.co.uk,11176
idcta.api.bbc.co.uk,11176
polling.bbc.co.uk,11176
a.teads.tv,152708
sync.teads.tv,7332
pixel.adsafeprotected.com,40860
secure-us.imrworldwide.com,4665
securepubads.g.doubleclick.net,3460
www.googletagservices.com,3460
ad.crwdcntrl.net,6362
privacy.crwdcntrl.net,8398
bcp.crwdcntrl.net,8398
privacy.crwdcntrl.net,7721
sync.crwdcntrl.net,7721
