Domains,Sequence Number Diff
e15316.e22.akamaiedge.net,586266
completion.amazon.com,11682
edge.bamgrid.com,5893
ece233b773b20008a46032ce60ffbef5.safeframe.googlesyndication.com,1
log.outbrainimg.com,34764
rtb0.doubleverify.com,23873
tps.doubleverify.com,14484
bbc.gscontxt.net,4354
token.rubiconproject.com,4823
pixel.rubiconproject.net.akadns.net,4823
vapixel.adsafeprotected.com,40462
firewall-external-1524972847.us-east-1.elb.amazonaws.com,40462
widgets.outbrain.com,115392
e10883.g.akamaiedge.net,115392
a.teads.tv,457866
e9957.b.akamaiedge.net,457866
cdn.teads.tv,11366
sync.teads.tv,11366
e3891.dscf.akamaiedge.net,5374
ichef.bbci.co.uk,5374
idcta.api.bbc.co.uk,5374
polling.bbc.co.uk,5374
