Domains,Sequence Number Diff
log.outbrainimg.com,27517
bbc.gscontxt.net,4159
bbc-lax.gscontxt.net,4159
firewall-external-1524972847.us-east-1.elb.amazonaws.com,20230
a.teads.tv,5269
cdn.teads.tv,5682
sync.teads.tv,5682
t.teads.tv,10112
e9957.d.akamaiedge.net,10112
