Domains,Sequence Number Diff
t.teads.tv,4578
aa.agkn.com,4756
ocsp.godaddy.com,2363
bbc.gscontxt.net,4329
dt.adsafeprotected.com,17414
c1.adform.net,5572
b1sync.zemanta.com,5395
ib.adnxs.com,5148
a.teads.tv,305404
cdn.teads.tv,14668
sync.teads.tv,14668
nav.files.bbci.co.uk,5560
static.files.bbci.co.uk,5560
static.bbci.co.uk,5560
mybbc-analytics.files.bbci.co.uk,5560
ichef.bbci.co.uk,5560
idcta.api.bbc.co.uk,5560
polling.bbc.co.uk,5560
emp.bbci.co.uk,5560
