Domains,Sequence Number Diff
log.outbrainimg.com,22302
aa.agkn.com,4750
ocsp.godaddy.com.akadns.net,2363
x.ss2.us,1821
crt.rootg2.amazontrust.com,1715
crt.rootca1.amazontrust.com,1715
px.powerlinks.com,14261
dmp-eastus.trafficmanager.net,14261
crt.rootg2.amazontrust.com,1745
crt.rootca1.amazontrust.com,1745
sync.adotmob.com,5323
b1sync.zemanta.com,8124
bbc.gscontxt.net,4354
sync.outbrain.com,37111
gsp64-ssl.ls-apple.com.akadns.net,3490
dis.criteo.com,6314
widget.va1.vip.prod.criteo.com,6314
ib.adnxs.com,4837
ps.eyeota.net,4228
dsp.adfarm1.adition.com,7696
pixel-us-east.rubiconproject.com,8516
tcheck.outbrainimg.com,345695
images.outbrainimg.com,345695
collector.effectivemeasure.net,5686
tags.bluekai.com,4528
e13541.x.akamaiedge.net,4528
dpm.demdex.net,4512
dcs-edge-va6-802167536.us-east-1.elb.amazonaws.com,4512
cdn.teads.tv.edgekey.net,17361
sync.teads.tv,17361
x.bidswitch.net,6580
bsw.digitru.st,6580
us-east-sync.bidswitch.net,6580
x.bidswitch.net,12638
bsw.digitru.st,12638
us-east-sync.bidswitch.net,12638
sync.mathtag.com,5141
pixel-origin.mathtag.com,5141
deviceid.trueleadid.com,5920
tag.cogocast.net,7409
widgets.outbrain.com,145674
a.teads.tv,10486
idcta.api.bbc.co.uk,5438
e3891.dscf.akamaiedge.net,5438
static.bbc.net.uk,5438
polling.bbc.co.uk,5438
e3891.f.akamaiedge.net,5438
ad.crwdcntrl.net,12368
secure-us-east-1.imrworldwide.com,4691
bcp.crwdcntrl.net,77
beacon.krxd.net,7900
id.geistm.com,5667
match.adsrvr.org,4853
match-975362022.us-east-1.elb.amazonaws.com,4853
sync-jp.im-apps.net,5966
ecs-prd-idsync-api-1966828337.ap-northeast-1.elb.amazonaws.com,5966
loadus.exelator.com,7113
load-ewr1.exelator.com,7113
bcp.crwdcntrl.net,12788
