Domains,Sequence Number Diff
ocsp.godaddy.com.akadns.net,6999
bbc-lax.gscontxt.net,4354
api-glb-nyc.smoot.apple.com,5281
open.live.bbc.co.uk,4879
ssc.api.bbc.com,5759
collector.effectivemeasure.net,6866
sb.scorecardresearch.com,6451
dt.adsafeprotected.com,6412
amidt.adsafeprotected.com,6412
a.teads.tv,152647
e9957.b.akamaiedge.net,152647
cdn.teads.tv,5731
