Domains,Sequence Number Diff
api-glb-nyc.smoot.apple.com,8850457
ocsp.godaddy.com.akadns.net,2363
ocsp.godaddy.com.akadns.net,4636
edigitalsurvey.com,1
bbc.gscontxt.net,4354
open.live.bbc.co.uk,4879
collector.effectivemeasure.net,6866
live-mybb-componen-1ja6lq9r6z7zi-1331949258.eu-west-1.elb.amazonaws.com,5759
ssc.api.bbc.com,5759
cdn.teads.tv,11630
sb.scorecardresearch.com.edgekey.net,6452
e8736.e7.akamaiedge.net,6452
amidt.adsafeprotected.com,19236
a.teads.tv,152647
e9957.b.akamaiedge.net,152647
static.bbc.co.uk,10818
e3891.dscf.akamaiedge.net,10818
static-bbci.bbc.net.uk,10818
ichef.bbci.co.uk,10818
mybbc-analytics.files.bbci.co.uk.edgekey.net,10818
mybbc.files.bbci.co.uk,10818
idcta.api.bbc.co.uk,10818
polling.bbc.co.uk,10818
e3891.f.akamaiedge.net,10818
mybbc-analytics.files.bbci.co.uk.edgekey.net,10818
e3891.f.akamaiedge.net,10818
firewall-external-1524972847.us-east-1.elb.amazonaws.com,40456
ad.crwdcntrl.net,12366
secure-origin.imrworldwide.com,9382
bcp.crwdcntrl.net,154
privacy.crwdcntrl.net,10789
