"Timestamp, DNS Domain Queried"
1599607929.667248,ssl.gstatic.com
1599607931.018879,gateway.fe.apple-dns.net
1599607931.277773,me.apple-dns.net
1599607938.694565,www.abrahamlincolnonline.org
1599607941.288364,time-osx.g.aaplimg.com
